filename,Bi,SBi,Si,$REPET,StepCounter,ambientTemp,meanTemp,meanSensors,meanOpinion,sdevOpinion,minOpinion,maxOpinion,meanReliability,mnOpinErr!,mnSensErr!,mnOpSensDiff!,mnOpAmbDiff!,providersCount,cntProviders,newProviders,delProviders,self_net,meanDistSelf,meanDistNet,liveCount,link_up,link_dw,sensor_up,sensor_dw,howManyLinks,Ambient_waves_numb,Scrambs_numb,HistTooLow,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,HistTooHig
RTSIsc1.48dRnd0000001030_Ne.4Si50_Cr.0Bi10.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,10.0,10.0,50.0,17.0,319.5,0.6390704,81.77883,90.26946,78.6059,433.8821,-16.958881,112.616936,0.29424712,5.172822,7.989157,11.179451,77.4902,37.812973,23.995075,13.817898,13.763352,19.29716,90.62106,78.3344,159.75,102.412735,57.337265,57.337265,102.412735,633.2121,5.553409,36.757576,0.0,13.656298,35.438778,47.466003,54.94716,81.00999,184.7163,57.05909,48.95483,45.209328,64.75436,0.0
RTSIsc1.48dRnd0000000214_Ne.4Si50_Cr.0Bi-22.00-5SBi-06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-22.0,-6.0,50.0,17.0,319.5,0.47960722,-49.00179,-70.209496,-57.68108,419.63046,-100.68381,33.217255,0.28653637,9.639346,20.705729,12.039157,57.73518,37.721638,24.048012,13.673627,13.615104,17.367283,71.763695,58.803642,159.75,104.76047,54.989536,54.989536,104.76047,631.8788,5.1899147,36.81818,0.0,10.616525,32.004166,45.892757,56.037357,81.167,183.8311,59.942852,52.123863,45.78054,64.48262,0.0
RTSIsc1.48dRnd0000000615_Ne.4Si50_Cr.0Bi-20.00-5SBi02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-20.0,2.0,50.0,17.0,319.5,0.08805922,17.940533,-1.8036654,-0.60823077,270.57864,-61.545208,65.2815,0.35544854,18.154972,19.241478,5.397964,4.480161,44.48073,27.869034,16.611694,16.540056,21.219507,17.921999,10.729976,159.75,91.31643,68.43357,68.43357,91.31643,632.1212,5.416288,36.939392,0.0,4.4893465,27.238447,55.069553,76.88348,105.94138,185.86838,62.194035,44.858,32.482388,37.09621,0.0
RTSIsc1.48dRnd0000001002_Ne.4Si50_Cr.0Bi-46.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-46.0,10.0,50.0,17.0,319.5,0.5721681,79.950226,35.5695,22.381296,333.95377,-48.34473,79.8901,0.2896169,57.07074,43.880302,12.698911,21.414299,38.08248,24.713305,13.369176,13.309943,18.781391,36.5958,23.255674,159.75,103.387314,56.36269,56.36269,103.387314,631.51514,5.5304923,37.424244,0.0,12.929167,33.848866,45.970455,55.284943,78.820076,186.36487,57.41193,50.18106,44.83646,65.86733,0.0
RTSIsc1.48dRnd0000001000_Ne.4Si50_Cr.0Bi-50.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-50.0,10.0,50.0,17.0,319.5,0.5875025,80.36851,32.063717,18.966097,319.55902,-49.024326,76.13534,0.28786486,60.90289,47.804546,12.638921,18.081865,37.72339,24.315483,13.4079075,13.346497,17.879261,33.70938,20.427986,159.75,104.18688,55.563114,55.563114,104.18688,631.63635,5.4314866,36.878788,0.0,10.987595,32.248154,46.231014,56.49195,80.75824,186.92534,58.074383,49.59948,43.487453,66.83276,0.0
RTSIsc1.48dRnd0000000921_Ne.4Si50_Cr.0Bi-08.00-5SBi08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-8.0,8.0,50.0,17.0,319.5,0.24496485,62.328556,54.528603,41.334225,346.74625,-37.936016,91.98191,0.28400558,20.49929,7.297538,12.707434,40.65701,37.61932,24.151089,13.468229,13.408807,17.977463,55.319984,41.49491,159.75,104.77741,54.972584,54.972584,104.77741,631.0303,5.621165,36.78788,0.0,12.1418085,32.427982,44.244648,54.583427,79.97064,185.04404,60.06572,51.384895,44.93021,66.23693,0.0
RTSIsc1.48dRnd0000000609_Ne.4Si50_Cr.0Bi-32.00-5SBi02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-32.0,2.0,50.0,17.0,319.5,-0.09853692,16.682245,-14.863484,-7.655095,284.38394,-63.30135,64.750244,0.3487218,23.872112,31.04678,6.89375,7.548816,44.29711,28.083664,16.213448,16.146496,21.14105,20.102335,12.608388,159.75,92.45113,67.29887,67.29887,92.45113,632.7879,5.6299715,36.909092,0.0,6.1753316,29.855967,55.79342,75.06539,101.89238,181.58054,61.74924,45.689392,34.725285,40.260937,0.0
RTSIsc1.48dRnd0000001003_Ne.4Si50_Cr.0Bi-44.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-44.0,10.0,50.0,17.0,319.5,0.105029255,80.93255,38.67906,25.615702,327.2862,-45.557785,80.79395,0.28583652,54.818275,41.755302,12.583002,25.092329,38.189064,24.821827,13.367235,13.312642,17.7393,39.88505,26.576452,159.75,104.70085,55.04915,55.04915,104.70085,632.9697,5.453835,36.484848,0.0,11.729782,32.507385,45.69058,54.668373,80.38111,185.01671,60.04531,51.48665,45.112026,66.33177,0.0
RTSIsc1.48dRnd0000000442_Ne.4Si50_Cr.0Bi34.00-5SBi-02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,34.0,-2.0,50.0,17.0,319.5,-0.03330555,-15.876411,17.309954,9.307163,285.82147,-60.424362,65.89715,0.33096108,24.710985,32.68783,7.983523,9.421969,42.25322,26.723248,15.529971,15.466383,20.01179,22.813866,14.021145,159.75,95.99204,63.757954,63.757954,95.99204,632.9091,5.3484373,37.0,0.0,6.460606,29.59536,52.495834,69.8688,96.218185,184.5704,61.99252,47.80914,37.534897,46.363354,0.0
RTSIsc1.48dRnd0000001001_Ne.4Si50_Cr.0Bi-48.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-48.0,10.0,50.0,17.0,319.5,0.34853363,81.110245,35.02224,22.545128,329.0435,-48.491703,79.16304,0.29606995,58.06733,45.58906,11.9997635,21.791714,38.738354,24.89143,13.846922,13.788684,19.18267,36.32917,23.6443,159.75,102.073204,57.6768,57.6768,102.073204,631.2121,5.3407197,36.666668,0.0,11.740009,34.95876,47.7875,56.582104,79.78925,184.34688,58.55104,50.444508,44.025475,62.9866,0.0
