filename,Bi,SBi,Si,$REPET,StepCounter,ambientTemp,meanTemp,meanSensors,meanOpinion,sdevOpinion,minOpinion,maxOpinion,meanReliability,mnOpinErr!,mnSensErr!,mnOpSensDiff!,mnOpAmbDiff!,providersCount,cntProviders,newProviders,delProviders,self_net,meanDistSelf,meanDistNet,liveCount,link_up,link_dw,sensor_up,sensor_dw,howManyLinks,Ambient_waves_numb,Scrambs_numb,HistTooLow,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,HistTooHig
RTSIsc1.48cRnd0000000018_Ne.4Si50_Cr.0Bi-10.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-10.0,10.0,50.0,17.0,319.5,0.35483935,80.73706,71.45459,57.741135,399.0468,-28.020733,104.94827,0.2786353,22.494366,8.782245,13.228646,56.90966,37.29531,24.244461,13.050852,12.994271,17.728409,72.113846,57.73716,159.75,105.8384,53.911602,53.911602,105.8384,631.69696,5.598106,37.030304,0.0,13.471685,32.98769,43.87093,51.951233,77.19186,187.84125,57.207577,51.10573,45.93575,70.133286,0.0
RTSIsc1.48cRnd0000000021_Ne.4Si50_Cr.0Bi05.00-5SBi04.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,5.0,4.0,50.0,17.0,319.5,0.48364154,34.110924,38.96974,27.738735,338.08655,-50.24789,80.66141,0.30824104,6.329924,4.365672,10.75019,26.834896,40.516193,26.084187,14.432008,14.366004,19.241478,39.888344,28.55886,159.75,100.07737,59.672634,59.672634,100.07737,632.1212,5.5368843,36.878788,0.0,9.341193,34.11198,50.496212,61.27803,86.52576,180.88097,60.779167,50.174526,42.543938,55.98944,0.0
RTSIsc1.48cRnd0000000020_Ne.4Si50_Cr.0Bi00.00-5SBi-10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,0.0,-10.0,50.0,17.0,319.5,0.48904797,-82.58298,-82.37126,-70.02213,420.74362,-106.87373,23.118025,0.28619838,12.08286,1.0613636,11.866525,70.02893,38.640434,24.825285,13.815151,13.75535,17.665388,83.96544,70.81824,159.75,104.60047,55.149525,55.149525,104.60047,633.2121,5.2882576,37.121212,0.0,12.177036,32.92211,44.519413,53.598106,80.57817,185.5527,59.696354,51.47467,46.34389,66.34967,0.0
RTSIsc1.48cRnd0000000025_Ne.4Si50_Cr.0Bi25.00-5SBi-08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,25.0,-8.0,50.0,17.0,319.5,0.13808349,-63.993225,-39.535885,-26.206198,336.93625,-79.86816,48.172962,0.28445154,37.286366,23.960133,12.8562975,25.956392,37.371212,24.312359,13.058854,13.000332,17.814299,41.003555,27.416014,159.75,104.829025,54.920975,54.920975,104.829025,631.8182,5.4171877,36.575756,0.0,10.461553,31.712074,45.089584,54.488068,80.339066,188.64134,58.97178,50.935936,45.248863,65.929924,0.0
RTSIsc1.48cRnd0000000029_Ne.4Si50_Cr.0Bi45.00-5SBi02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,45.0,2.0,50.0,17.0,319.5,0.12017225,16.246742,60.570015,48.357086,395.27637,-38.77839,96.22261,0.29585278,31.803978,43.81766,11.736553,47.814537,38.662785,24.754213,13.90857,13.849053,18.46392,61.47952,48.938705,159.75,102.61771,57.13229,57.13229,102.61771,631.8182,5.507055,37.333332,0.0,9.8809185,31.513163,46.95715,58.10521,85.73357,183.9973,59.98532,50.105873,45.025238,60.514442,0.0
RTSIsc1.48cRnd0000000029_Ne.4Si50_Cr.0Bi45.00-5SBi-10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,45.0,-10.0,50.0,17.0,319.5,0.12017225,-80.65853,-37.742916,-24.040508,357.1354,-80.143295,49.358036,0.28486228,56.116524,42.41302,13.240436,23.83731,38.05691,24.59787,13.4590435,13.399621,17.531013,39.369843,25.656492,159.75,104.91264,54.837357,54.837357,104.91264,631.0909,5.507055,37.333332,0.0,10.3861265,32.38177,46.267612,56.078648,81.690155,182.44096,58.323105,50.996735,45.928646,66.59716,0.0
RTSIsc1.48cRnd0000000021_Ne.4Si50_Cr.0Bi05.00-5SBi06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,5.0,6.0,50.0,17.0,319.5,0.48364154,50.327454,55.277496,42.54458,365.22287,-38.861618,92.65138,0.28806084,7.645265,4.4587593,12.251089,41.612026,37.82074,24.322063,13.498674,13.438968,17.127699,55.86817,42.55882,159.75,104.65284,55.09716,55.09716,104.65284,631.4545,5.5368843,36.878788,0.0,8.8515625,30.569696,45.832672,57.580776,84.250755,184.93565,61.230396,50.516193,44.27036,63.416477,0.0
RTSIsc1.48cRnd0000000030_Ne.4Si50_Cr.0Bi50.00-5SBi-06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,50.0,-6.0,50.0,17.0,319.5,0.32418546,-45.25033,4.159228,2.4382315,261.27628,-61.703564,62.671825,0.3558309,47.183098,48.910652,5.452462,4.2918086,44.994366,28.236032,16.758333,16.68575,21.143183,17.27485,10.454955,159.75,91.2679,68.4821,68.4821,91.2679,631.51514,5.4996686,36.454544,0.0,4.7367897,27.414251,55.444035,77.66785,104.52988,184.90085,61.925,45.634045,32.774433,36.48802,0.0
RTSIsc1.48cRnd0000000015_Ne.4Si50_Cr.0Bi-25.00-5SBi08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-25.0,8.0,50.0,17.0,319.5,0.28324407,66.950806,42.614174,29.18818,346.62607,-46.424244,83.72312,0.28430784,37.261837,23.837263,12.936174,28.484375,37.712025,24.523958,13.188068,13.128836,17.935322,43.633286,29.88391,159.75,104.73712,55.01288,55.01288,104.73712,631.1515,5.7274146,36.909092,0.0,11.987879,32.873627,45.229546,55.006725,78.48665,185.7777,58.90317,50.73679,45.04299,67.10644,0.0
RTSIsc1.48cRnd0000000015_Ne.4Si50_Cr.0Bi-25.00-5SBi-10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-25.0,-10.0,50.0,17.0,319.5,0.28324407,-77.68662,-96.35775,-88.75419,434.05795,-109.42548,22.034761,0.3675372,11.410086,18.17036,7.2142043,88.54744,42.67093,25.67036,17.000568,16.935701,30.397774,97.678925,89.34282,159.75,83.903885,75.846115,75.846115,83.903885,630.7273,5.7274146,36.909092,0.0,35.483807,60.344555,65.239296,65.63002,81.31098,158.92818,48.112404,40.07055,34.31321,41.29427,0.0
